MC,CI,DC,RPM,ED,ER,VI,velocity_x_theoretical
6.310000, 0.260000, 0.050000, 2816.000000,0.458800, 0.001600, 11.800000, 0.547477
6.260000, 0.260000, 0.052000, 2815.000000,0.458800, 0.001600, 11.700000, 0.547282
6.840000, 0.290000, 0.051000, 2810.000000,0.458800, 0.001600, 11.700000, 0.546310
7.480000, 0.320000, 0.052000, 2802.000000,0.458800, 0.001600, 11.800000, 0.544755
7.620000, 0.330000, 0.050000, 2797.000000,0.458900, 0.001600, 11.700000, 0.543783
7.470000, 0.320000, 0.051000, 2793.000000,0.458900, 0.001600, 11.800000, 0.543005
7.810000, 0.330000, 0.052000, 2785.000000,0.458900, 0.001600, 11.700000, 0.541450
8.130000, 0.350000, 0.053000, 2775.000000,0.458900, 0.001600, 11.700000, 0.539506
8.620000, 0.370000, 0.051000, 2765.000000,0.459000, 0.001600, 11.700000, 0.537561
8.380000, 0.360000, 0.052000, 2764.000000,0.459000, 0.001600, 11.700000, 0.537367
7.650000, 0.330000, 0.051000, 2765.000000,0.459000, 0.001600, 11.500000, 0.537561
6.810000, 0.290000, 0.050000, 2773.000000,0.459000, 0.001600, 11.700000, 0.539117
6.190000, 0.250000, 0.050000, 2784.000000,0.459000, 0.001600, 11.700000, 0.541255
6.080000, 0.250000, 0.050000, 2788.000000,0.459100, 0.001600, 11.700000, 0.542033
6.880000, 0.290000, 0.051000, 2786.000000,0.459100, 0.001600, 11.700000, 0.541644
7.670000, 0.330000, 0.052000, 2780.000000,0.459100, 0.001600, 11.700000, 0.540478
7.730000, 0.330000, 0.052000, 2774.000000,0.459100, 0.001600, 11.700000, 0.539311
7.890000, 0.340000, 0.051000, 2767.000000,0.459100, 0.001600, 11.800000, 0.537950
7.870000, 0.340000, 0.052000, 2767.000000,0.459200, 0.001600, 11.700000, 0.537950
8.090000, 0.350000, 0.051000, 2764.000000,0.459200, 0.001600, 11.600000, 0.537367
8.010000, 0.340000, 0.054000, 2757.000000,0.459200, 0.001600, 11.700000, 0.536006
8.080000, 0.350000, 0.051000, 2757.000000,0.459200, 0.001600, 11.800000, 0.536006
7.120000, 0.300000, 0.050000, 2764.000000,0.459200, 0.001600, 11.700000, 0.537367
6.910000, 0.290000, 0.050000, 2772.000000,0.459300, 0.001600, 11.700000, 0.538922
6.650000, 0.280000, 0.051000, 2777.000000,0.459300, 0.001600, 11.800000, 0.539894
6.490000, 0.270000, 0.052000, 2781.000000,0.459300, 0.001600, 11.800000, 0.540672
10.340000, 0.620000, 0.033000, 2883.000000,0.459300, 0.001600, 11.700000, 0.560503
11.770000, 0.610000, 0.061000, 2855.000000,0.459400, 0.001600, 11.800000, 0.555059
7.330000, 0.320000, 0.068000, 2798.000000,0.459400, 0.001600, 11.700000, 0.543977
7.120000, 0.330000, 0.051000, 2816.000000,0.459400, 0.001600, 11.800000, 0.547477
8.560000, 0.400000, 0.043000, 2848.000000,0.459500, 0.001600, 11.700000, 0.553698
