roll,pitch,yaw,ax,ay,az,wx,wy,wz,x_q,y_q,z_q,w_q,roll_xi,pitch_yi,yaw_zi,velocity_y
3.691768, -2.481117, -30.871905, 0.042480,-0.067871, 1.041504, 0.488281, 0.244141, 0.061035, 0.025283, 0.029430,-0.265288,-0.963388,-0.064434,-0.043304,0.538816, 0.000000
3.736057, -2.465554, -30.876813, 0.045898,-0.064453, 1.031250, -0.122070, 0.244141, 0.122070, 0.025690, 0.029403,-0.265323,-0.963369,-0.065206,-0.043032,0.538902, 0.000000
3.819873, -2.588858, -30.883192, 0.050293,-0.069336, 1.027832, 0.488281, 0.427246, 0.183105, 0.026106, 0.030634,-0.265314,-0.963321,-0.066669,-0.045184,0.539013, 0.000000
3.776316, -2.439751, -30.884702, 0.042969,-0.070312, 1.055664, 0.183105, 0.183105, 0.244141, 0.026086, 0.029281,-0.265388,-0.963344,-0.065909,-0.042582,0.539040, 0.000000
3.766139, -2.488173, -30.887345, 0.045898,-0.068848, 1.039062, -0.427246, 0.061035, 0.122070, 0.025887, 0.029665,-0.265397,-0.963335,-0.065732,-0.043427,0.539086, 0.000000
3.642262, -2.491424, -30.883698, 0.046875,-0.064941, 1.028809, 0.244141, 0.122070, 0.122070, 0.024839, 0.029404,-0.265397,-0.963371,-0.063569,-0.043484,0.539022, 0.000000
3.748062, -2.525851, -30.891129, 0.047363,-0.067871, 1.030273, 0.549316, 0.488281, 0.244141, 0.025647, 0.029940,-0.265421,-0.963326,-0.065416,-0.044084,0.539152, 0.000000
3.807468, -2.484030, -30.897850, 0.042480,-0.070312, 1.045410, 0.671387, 0.488281, 0.061035, 0.026242, 0.029728,-0.265476,-0.963302,-0.066453,-0.043354,0.539269, 0.000000
3.785760, -2.493283, -30.898119, 0.045410,-0.070312, 1.038086, -0.061035, 0.488281, 0.061035, 0.026038, 0.029755,-0.265480,-0.963305,-0.066074,-0.043516,0.539274, 0.000000
3.740901, -2.522251, -30.899100, 0.046387,-0.066406, 1.028809, 0.122070, 0.122070, 0.183105, 0.025593, 0.029895,-0.265491,-0.963310,-0.065291,-0.044022,0.539291, 0.000000
3.663854, -2.544764, -30.898929, 0.044922,-0.065918, 1.045898, 0.061035, 0.122070, 0.061035, 0.024893, 0.029906,-0.265502,-0.963325,-0.063946,-0.044415,0.539288, 0.000000
3.611273, -2.565323, -30.898984, 0.047363,-0.062988, 1.028809, 0.427246, 0.488281, 0.183105, 0.024403, 0.029957,-0.265510,-0.963334,-0.063029,-0.044773,0.539289, 0.000000
3.708979, -2.425363, -30.905315, 0.043457,-0.067383, 1.033691, 0.793457, 0.549316, 0.183105, 0.025549, 0.029008,-0.265583,-0.963313,-0.064734,-0.042331,0.539400, 0.000000
3.752365, -2.431353, -30.911500, 0.044434,-0.067871, 1.036621, 0.488281, 0.671387, 0.305176, 0.025898, 0.029161,-0.265622,-0.963288,-0.065491,-0.042435,0.539507, 0.000000
3.665409, -2.434829, -30.910356, 0.045898,-0.067383, 1.045898, -0.122070, 0.183105, 0.122070, 0.025159, 0.028988,-0.265633,-0.963310,-0.063973,-0.042496,0.539487, 0.000000
